Date,Ticker,Open,Close,Volume,Low,High
3/3/2023,^SP500-50,174.36,178.02,273233700,174.36,178.2
3/2/2023,^SP500-50,172.47,174.36,242783800,171.4,174.77
3/1/2023,^SP500-50,173.53,172.47,251748100,172.19,174.22
2/28/2023,^SP500-50,173.11,173.53,374967700,172.89,174.83
2/27/2023,^SP500-50,172.39,173.11,247930500,172.39,174.47
2/24/2023,^SP500-50,174.89,172.39,275868900,171.2,174.89
2/23/2023,^SP500-50,176.05,174.89,280264300,172.91,176.22
2/22/2023,^SP500-50,176.14,176.05,249574700,175.12,176.97
2/21/2023,^SP500-50,180.01,176.14,280716200,176.07,180.01
2/17/2023,^SP500-50,181.12,180.27,254130300,178.28,181.12
2/16/2023,^SP500-50,183.97,181.12,299203000,180.3,183.97
2/15/2023,^SP500-50,181.85,183.97,284716600,180.55,183.99
2/14/2023,^SP500-50,181.84,181.85,275411300,178.9,182.19
2/13/2023,^SP500-50,179.86,181.84,292663700,179.86,182.31
2/10/2023,^SP500-50,181.47,179.86,319156400,179.46,182.4
2/9/2023,^SP500-50,186.69,181.47,510735600,180.59,188.95
2/8/2023,^SP500-50,194.74,186.69,519488000,185.06,194.74
2/7/2023,^SP500-50,190.03,194.74,341835600,189.54,195.55
2/6/2023,^SP500-50,192.55,190.03,286468400,188.76,192.55
6/27/2023,^SP500-45,2967.11,3027.7,389259300,2967.11,3033.99
6/26/2023,^SP500-45,2998.1,2967.11,399788600,2966.78,3025.54
6/23/2023,^SP500-45,3031.52,2998.1,522760000,2985.32,3031.52
6/22/2023,^SP500-45,3003.82,3031.52,410774500,2989.9,3031.77
6/21/2023,^SP500-45,3046.87,3003.82,480681600,2990.96,3046.87
6/20/2023,^SP500-45,3053.84,3046.87,463008200,3028.49,3065.25
6/16/2023,^SP500-45,3085.83,3060.37,802767800,3058.65,3110.59
6/15/2023,^SP500-45,3046.95,3085.83,550449500,3035.3,3100.09
6/14/2023,^SP500-45,3012.51,3046.95,537276200,3001.09,3047.23
6/13/2023,^SP500-45,2991.18,3012.51,569403600,2986.08,3023.2
6/12/2023,^SP500-45,2930.38,2991.18,490415200,2930.38,2992.23
6/9/2023,^SP500-45,2916.83,2930.38,404312700,2916.83,2960.19
6/8/2023,^SP500-45,2882.29,2916.83,383223000,2882.29,2921.06
6/7/2023,^SP500-45,2929.66,2882.29,476156500,2876.91,2948.02
6/6/2023,^SP500-45,2933.3,2929.66,406303600,2911.09,2935.52
6/5/2023,^SP500-45,2949.82,2933.3,463865300,2926.58,2970.28
6/2/2023,^SP500-45,2934.83,2949.82,425635400,2929.48,2963.8
6/1/2023,^SP500-45,2896.25,2934.83,511389900,2883.64,2945.46
5/31/2023,^SP500-45,2928.21,2896.25,902310700,2896.25,2939.37
5/30/2023,^SP500-45,2909.96,2928.21,588600700,2909.96,2970.16
5/26/2023,^SP500-45,2834.06,2909.96,610793000,2834.06,2914.1
5/25/2023,^SP500-45,2713.42,2834.06,713613400,2713.42,2845.76
5/24/2023,^SP500-45,2730.44,2713.42,422145100,2697.18,2730.44
5/23/2023,^SP500-45,2771.98,2730.44,403046500,2729.88,2771.98
5/22/2023,^SP500-45,2768.34,2771.98,386689900,2755.44,2779.81
5/19/2023,^SP500-45,2771.43,2768.34,443510200,2759.63,2776.1
5/18/2023,^SP500-45,2715.38,2771.43,515525300,2715.38,2774.77
5/17/2023,^SP500-45,2680.98,2715.38,442510300,2678.42,2718.79
5/16/2023,^SP500-45,2676.65,2680.98,397621600,2674.53,2696.17
5/15/2023,^SP500-45,2657.03,2676.65,342340000,2648.82,2677.29
5/12/2023,^SP500-45,2662.98,2657.03,352112300,2636.47,2669.9
5/11/2023,^SP500-45,2676.28,2662.98,376600700,2644.94,2676.28
5/10/2023,^SP500-45,2642.62,2674.99,424035200,2642.62,2681.18
5/9/2023,^SP500-45,2665.41,2642.62,367805500,2640.5,2665.41
5/8/2023,^SP500-45,2665.88,2665.41,373497500,2647.33,2667.48
5/5/2023,^SP500-45,2595.47,2665.88,472622600,2595.47,2674.37
5/4/2023,^SP500-45,2608.26,2595.47,492100500,2585.43,2612.09
5/3/2023,^SP500-45,2630.12,2608.26,456606400,2607.63,2650.49
5/2/2023,^SP500-45,2654.81,2630.12,411980100,2617.21,2660.84
5/1/2023,^SP500-45,2649.95,2654.81,388980600,2645.49,2667.04
4/28/2023,^SP500-45,2622.16,2649.95,463456700,2618.83,2650.37
4/27/2023,^SP500-45,2566.05,2621.78,473222900,2566.05,2623.43
4/26/2023,^SP500-45,2522.36,2566.05,462290900,2522.36,2592.07
4/25/2023,^SP500-45,2576.08,2522.36,404554200,2522.36,2576.08
4/24/2023,^SP500-45,2587.05,2576.08,321691900,2556.14,2590.03
4/21/2023,^SP500-45,2596.7,2587.05,370950700,2570.4,2596.7
4/20/2023,^SP500-45,2616.53,2596.7,409419000,2584.9,2622.96
4/19/2023,^SP500-45,2619.95,2616.53,339119200,2594.54,2620.27
4/18/2023,^SP500-45,2609.33,2619.95,346299700,2608.4,2638.52
4/17/2023,^SP500-45,2599.12,2609.33,326042900,2588.37,2613.85
4/14/2023,^SP500-45,2612.33,2599.12,316858700,2576.44,2619.46
4/13/2023,^SP500-45,2562.26,2612.33,367334900,2562.26,2616.27
4/12/2023,^SP500-45,2578,2562.26,364910900,2558.57,2602.54
4/11/2023,^SP500-45,2604.91,2578,329247200,2574.24,2604.91
4/10/2023,^SP500-45,2608.75,2604.91,367919800,2565.11,2608.75
4/6/2023,^SP500-45,2591.17,2608.75,346268300,2561.88,2611.6
4/5/2023,^SP500-45,2614.99,2591.17,391337200,2571.38,2614.99
4/4/2023,^SP500-45,2637.78,2622.43,374762700,2612.2,2648.81
4/3/2023,^SP500-45,2638.98,2637.78,407665000,2610.96,2639.58
3/31/2023,^SP500-45,2600.86,2638.98,467230600,2594.51,2640.91
3/30/2023,^SP500-45,2571.52,2600.86,405199100,2571.52,2604.29
3/29/2023,^SP500-45,2518.77,2571.52,472750700,2518.77,2576.49
